% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar),Listo? (no considerar),Pendiente (no considerar),
90%,11. Medio Ambiente y cambio climático,87%,Alianza público-privada para residuos y reciclaje,"Coordinar convenios en alianza público-privada para mejorar la gestión de residuos y fomentar el reciclaje, permitiendo tener una comuna más limpia y sustentable.",100%,"Ingreso al sistema de gestión, con la entrada en vigencia de la Ley de ""Responsabilidad Extendida del Productor y fomento al reciclaje"". También se realizan alianzas con privados como: reciclaje de agua residual, gestión de puntos verdes, gestión de residuos como aceites y neumáticos. Además, en mayo de 2024 comienz el Plan Piloto de Reciclaje Puerta a Puerta, en el que se recolectará material reciclabe casa por casa (plástico, papeles, cartones, vidrios, latas y aluminio) en alianza con la Asociación de Municipios Ciudad Sur y la Corporación ReSimple.",Formalización de convenios con recicladores de base.,10%,10%,40%,,11.35,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Alianza público-privada para residuos y reciclaje,"Coordinar convenios en alianza público-privada para mejorar la gestión de residuos y fomentar el reciclaje, permitiendo tener una comuna más limpia y sustentable.",100%,"Ingreso al sistema de gestión, con la entrada en vigencia de la Ley de ""Responsabilidad Extendida del Productor y fomento al reciclaje"". También se realizan alianzas con privados como: reciclaje de agua residual, gestión de puntos verdes, gestión de residuos como aceites y neumáticos. Además, en mayo de 2024 comienz el Plan Piloto de Reciclaje Puerta a Puerta, en el que se recolectará material reciclabe casa por casa (plástico, papeles, cartones, vidrios, latas y aluminio) en alianza con la Asociación de Municipios Ciudad Sur y la Corporación ReSimple.","Elaboración de plan de acción respecto a rutas, operatividad, logistica, educación ambiental, entre otros.",20%,20%,60%,,11.36,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Alianza público-privada para residuos y reciclaje,"Coordinar convenios en alianza público-privada para mejorar la gestión de residuos y fomentar el reciclaje, permitiendo tener una comuna más limpia y sustentable.",100%,"Ingreso al sistema de gestión, con la entrada en vigencia de la Ley de ""Responsabilidad Extendida del Productor y fomento al reciclaje"". También se realizan alianzas con privados como: reciclaje de agua residual, gestión de puntos verdes, gestión de residuos como aceites y neumáticos. Además, en mayo de 2024 comienz el Plan Piloto de Reciclaje Puerta a Puerta, en el que se recolectará material reciclabe casa por casa (plástico, papeles, cartones, vidrios, latas y aluminio) en alianza con la Asociación de Municipios Ciudad Sur y la Corporación ReSimple.","Ingreso al sistema de gestión de residuos de envases y embalajes, implementación de Ley REP.",10%,10%,70%,,11.37,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Alianza público-privada para residuos y reciclaje,"Coordinar convenios en alianza público-privada para mejorar la gestión de residuos y fomentar el reciclaje, permitiendo tener una comuna más limpia y sustentable.",100%,"Ingreso al sistema de gestión, con la entrada en vigencia de la Ley de ""Responsabilidad Extendida del Productor y fomento al reciclaje"". También se realizan alianzas con privados como: reciclaje de agua residual, gestión de puntos verdes, gestión de residuos como aceites y neumáticos. Además, en mayo de 2024 comienz el Plan Piloto de Reciclaje Puerta a Puerta, en el que se recolectará material reciclabe casa por casa (plástico, papeles, cartones, vidrios, latas y aluminio) en alianza con la Asociación de Municipios Ciudad Sur y la Corporación ReSimple.",Realización de estudio de caracterización de residuos,10%,10%,80%,,11.38,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Alianza público-privada para residuos y reciclaje,"Coordinar convenios en alianza público-privada para mejorar la gestión de residuos y fomentar el reciclaje, permitiendo tener una comuna más limpia y sustentable.",100%,"Ingreso al sistema de gestión, con la entrada en vigencia de la Ley de ""Responsabilidad Extendida del Productor y fomento al reciclaje"". También se realizan alianzas con privados como: reciclaje de agua residual, gestión de puntos verdes, gestión de residuos como aceites y neumáticos. Además, en mayo de 2024 comienz el Plan Piloto de Reciclaje Puerta a Puerta, en el que se recolectará material reciclabe casa por casa (plástico, papeles, cartones, vidrios, latas y aluminio) en alianza con la Asociación de Municipios Ciudad Sur y la Corporación ReSimple.",Supervisión de los convenios y de la implementación de la Ley REP.,10%,10%,90%,,11.39,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Alianza público-privada para residuos y reciclaje,"Coordinar convenios en alianza público-privada para mejorar la gestión de residuos y fomentar el reciclaje, permitiendo tener una comuna más limpia y sustentable.",100%,"Ingreso al sistema de gestión, con la entrada en vigencia de la Ley de ""Responsabilidad Extendida del Productor y fomento al reciclaje"". También se realizan alianzas con privados como: reciclaje de agua residual, gestión de puntos verdes, gestión de residuos como aceites y neumáticos. Además, en mayo de 2024 comienz el Plan Piloto de Reciclaje Puerta a Puerta, en el que se recolectará material reciclabe casa por casa (plástico, papeles, cartones, vidrios, latas y aluminio) en alianza con la Asociación de Municipios Ciudad Sur y la Corporación ReSimple.","Diversificación de la gestión de residuos no incluidos en la Ley REP (pilas, neumáticos, aceites)",10%,10%,100%,,11.40,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada cuadrante de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Durante 2023, se realizaron 97 operativos de retiro de residuos domiciliarios y enseres en desuso. ",Planificación anual y estrategia territorial del programa de retiro de escombros y microbasurales ,10%,10%,10%,1,11.41,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada cuadrante de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Durante 2023, se realizaron 97 operativos de retiro de residuos domiciliarios y enseres en desuso. ",Validación del programa social de escombros y microbasurales,10%,10%,20%,,11.42,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada cuadrante de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Durante 2023, se realizaron 97 operativos de retiro de residuos domiciliarios y enseres en desuso. ",Difusión y coordinación con gestores territoriales ,10%,10%,30%,,11.43,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada cuadrante de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Durante 2023, se realizaron 97 operativos de retiro de residuos domiciliarios y enseres en desuso. ",Recepción de solicitudes de cubicación para retiro de escombros por canales habilitados,10%,10%,40%,,11.44,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada cuadrante de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Durante 2023, se realizaron 97 operativos de retiro de residuos domiciliarios y enseres en desuso. ",Realización de cubicaciones en terreno para retiro de escombros,5%,5%,45%,,11.45,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada cuadrante de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Durante 2023, se realizaron 97 operativos de retiro de residuos domiciliarios y enseres en desuso. ",Cobros en terreno de cubicaciones realizadas,5%,5%,50%,,11.46,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada cuadrante de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Durante 2023, se realizaron 97 operativos de retiro de residuos domiciliarios y enseres en desuso. ",Agendamiento de retiro de escombros y ejecución del servicio ,10%,10%,60%,,11.47,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada cuadrante de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Durante 2023, se realizaron 97 operativos de retiro de residuos domiciliarios y enseres en desuso. ",Ejecución en su totalidad del programa que incluye 2 operativos de retiro de enseres o cachureos por unidad vecinal al año,10%,10%,70%,,11.48,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada cuadrante de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Durante 2023, se realizaron 97 operativos de retiro de residuos domiciliarios y enseres en desuso. ","Digitalización del proceso de solicitud y pago de cubicaciones, entre lo que se incluye:
- Habilitación de mail para solicitudes de cubicación.
- Creación de link de acceso a solicitudes de servicio de aseo.
- Habilitación de pago online, o a través de máquinas de transacción portatil.
- Habilitación de sistema web de agendamiento de retiro",30%,0%,70%,,11.49,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Generar política y/o plan educacional de reciclaje y protección del medioambiente,Desarrollar un plan de actividades de educación ambiental y de reciclaje en todos los territorios y en distintos centros educacionales de la comuna.,95%,"Durante 2023 se realizaron más de 30 intervenciones educativas en los territorios enfocadas en el correcto uso de los puntos verdes. Se han realizado programas educativos sobre reciclaje y medioambiente en 6 centros educacionales. Además, en mayo de 2024 comienz el Plan Piloto de Reciclaje Puerta a Puerta, en el que se recolectará material reciclabe casa por casa (plástico, papeles, cartones, vidrios, latas y aluminio).","Levantamiento de información respecto a reciclaje y educación ambiental, normativa, procedimientos. Elaboración de material educativo.",10%,10%,10%,1,11.50,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Generar política y/o plan educacional de reciclaje y protección del medioambiente,Desarrollar un plan de actividades de educación ambiental y de reciclaje en todos los territorios y en distintos centros educacionales de la comuna.,95%,"Durante 2023 se realizaron más de 30 intervenciones educativas en los territorios enfocadas en el correcto uso de los puntos verdes. Se han realizado programas educativos sobre reciclaje y medioambiente en 6 centros educacionales. Además, en mayo de 2024 comienz el Plan Piloto de Reciclaje Puerta a Puerta, en el que se recolectará material reciclabe casa por casa (plástico, papeles, cartones, vidrios, latas y aluminio).","Coordinación con distintas entidades público privadas de educación, planificación de actividades de educación ambiental y de reciclaje",10%,10%,20%,,11.51,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Generar política y/o plan educacional de reciclaje y protección del medioambiente,Desarrollar un plan de actividades de educación ambiental y de reciclaje en todos los territorios y en distintos centros educacionales de la comuna.,95%,"Durante 2023 se realizaron más de 30 intervenciones educativas en los territorios enfocadas en el correcto uso de los puntos verdes. Se han realizado programas educativos sobre reciclaje y medioambiente en 6 centros educacionales. Además, en mayo de 2024 comienz el Plan Piloto de Reciclaje Puerta a Puerta, en el que se recolectará material reciclabe casa por casa (plástico, papeles, cartones, vidrios, latas y aluminio).",Capacitaciones y talleres sobre reciclaje y medioambiente en centros educacionales,20%,20%,40%,,11.52,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Generar política y/o plan educacional de reciclaje y protección del medioambiente,Desarrollar un plan de actividades de educación ambiental y de reciclaje en todos los territorios y en distintos centros educacionales de la comuna.,95%,"Durante 2023 se realizaron más de 30 intervenciones educativas en los territorios enfocadas en el correcto uso de los puntos verdes. Se han realizado programas educativos sobre reciclaje y medioambiente en 6 centros educacionales. Además, en mayo de 2024 comienz el Plan Piloto de Reciclaje Puerta a Puerta, en el que se recolectará material reciclabe casa por casa (plástico, papeles, cartones, vidrios, latas y aluminio).",Instalación de puntos verdes o acopio,10%,10%,50%,,11.53,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Generar política y/o plan educacional de reciclaje y protección del medioambiente,Desarrollar un plan de actividades de educación ambiental y de reciclaje en todos los territorios y en distintos centros educacionales de la comuna.,95%,"Durante 2023 se realizaron más de 30 intervenciones educativas en los territorios enfocadas en el correcto uso de los puntos verdes. Se han realizado programas educativos sobre reciclaje y medioambiente en 6 centros educacionales. Además, en mayo de 2024 comienz el Plan Piloto de Reciclaje Puerta a Puerta, en el que se recolectará material reciclabe casa por casa (plástico, papeles, cartones, vidrios, latas y aluminio).","Coordinación con unidades vecinales, juntas de vecinos, comités ambientales, para desarrollar actividades y charlas sobre reciclaje, uso de puntos verdes y cuidado del medioambiente",20%,20%,70%,,11.54,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Generar política y/o plan educacional de reciclaje y protección del medioambiente,Desarrollar un plan de actividades de educación ambiental y de reciclaje en todos los territorios y en distintos centros educacionales de la comuna.,95%,"Durante 2023 se realizaron más de 30 intervenciones educativas en los territorios enfocadas en el correcto uso de los puntos verdes. Se han realizado programas educativos sobre reciclaje y medioambiente en 6 centros educacionales. Además, en mayo de 2024 comienz el Plan Piloto de Reciclaje Puerta a Puerta, en el que se recolectará material reciclabe casa por casa (plástico, papeles, cartones, vidrios, latas y aluminio).",Capacitaciones y acciones educacionales sobre reciclaje y medioambiente en los distintos territorios,15%,15%,85%,,11.55,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Generar política y/o plan educacional de reciclaje y protección del medioambiente,Desarrollar un plan de actividades de educación ambiental y de reciclaje en todos los territorios y en distintos centros educacionales de la comuna.,95%,"Durante 2023 se realizaron más de 30 intervenciones educativas en los territorios enfocadas en el correcto uso de los puntos verdes. Se han realizado programas educativos sobre reciclaje y medioambiente en 6 centros educacionales. Además, en mayo de 2024 comienz el Plan Piloto de Reciclaje Puerta a Puerta, en el que se recolectará material reciclabe casa por casa (plástico, papeles, cartones, vidrios, latas y aluminio).","Elaboración de plan, protocolo o ordenanza que incluya la educación ambiental y de reciclaje",15%,10%,95%,,11.56,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",65%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos, subvenciones y convenios. Además se presta apoyo técnico en la ejecución de esos proyectos, como por ejemplo: ""Construcción de Huerta Escolar"" en alianza con Instituto de la Sordera Jorge Otte y Nutrien ag solutions, ""Jornadas Eco saludables en los barrios de San Joaquin"", en alianza con el Comité de Allegados Victor Domingo Silva y el Gobierno Regional, ""Construcción de Huertas comunitarias en sedes comunales Músicos del Mundo y Elias de la Cruz"" en Alianza con el Programa MAS Adulto Mayor, ""Adjudicación de fondos para mejoramiento de Plazas"" en alianza con el Comité Ambiental Girasoles Alegres y empresas (Ferretería la Imperial, Sodimac, Fundacion Luksic), entre otros.",Entrega de información a organizaciones sociales sobre los fondos concursables ambientales que existen (públicos y privados),10%,10%,10%,1,11.57,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",65%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos, subvenciones y convenios. Además se presta apoyo técnico en la ejecución de esos proyectos, como por ejemplo: ""Construcción de Huerta Escolar"" en alianza con Instituto de la Sordera Jorge Otte y Nutrien ag solutions, ""Jornadas Eco saludables en los barrios de San Joaquin"", en alianza con el Comité de Allegados Victor Domingo Silva y el Gobierno Regional, ""Construcción de Huertas comunitarias en sedes comunales Músicos del Mundo y Elias de la Cruz"" en Alianza con el Programa MAS Adulto Mayor, ""Adjudicación de fondos para mejoramiento de Plazas"" en alianza con el Comité Ambiental Girasoles Alegres y empresas (Ferretería la Imperial, Sodimac, Fundacion Luksic), entre otros.",Entrega de asesoría técnica a organizaciones sociales para postular a los fondos concursables,15%,15%,25%,,11.58,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",65%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos, subvenciones y convenios. Además se presta apoyo técnico en la ejecución de esos proyectos, como por ejemplo: ""Construcción de Huerta Escolar"" en alianza con Instituto de la Sordera Jorge Otte y Nutrien ag solutions, ""Jornadas Eco saludables en los barrios de San Joaquin"", en alianza con el Comité de Allegados Victor Domingo Silva y el Gobierno Regional, ""Construcción de Huertas comunitarias en sedes comunales Músicos del Mundo y Elias de la Cruz"" en Alianza con el Programa MAS Adulto Mayor, ""Adjudicación de fondos para mejoramiento de Plazas"" en alianza con el Comité Ambiental Girasoles Alegres y empresas (Ferretería la Imperial, Sodimac, Fundacion Luksic), entre otros.",Entrega de asesoría técnica a organizaciones sociales para solicitar subvención municipal,15%,15%,40%,,11.59,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",65%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos, subvenciones y convenios. Además se presta apoyo técnico en la ejecución de esos proyectos, como por ejemplo: ""Construcción de Huerta Escolar"" en alianza con Instituto de la Sordera Jorge Otte y Nutrien ag solutions, ""Jornadas Eco saludables en los barrios de San Joaquin"", en alianza con el Comité de Allegados Victor Domingo Silva y el Gobierno Regional, ""Construcción de Huertas comunitarias en sedes comunales Músicos del Mundo y Elias de la Cruz"" en Alianza con el Programa MAS Adulto Mayor, ""Adjudicación de fondos para mejoramiento de Plazas"" en alianza con el Comité Ambiental Girasoles Alegres y empresas (Ferretería la Imperial, Sodimac, Fundacion Luksic), entre otros.","Seguimiento y apoyo a la ejecución de los proyectos ambientales impulsados por organizaciones sociales, que reciban financiamiento municipal",10%,10%,50%,,11.60,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",65%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos, subvenciones y convenios. Además se presta apoyo técnico en la ejecución de esos proyectos, como por ejemplo: ""Construcción de Huerta Escolar"" en alianza con Instituto de la Sordera Jorge Otte y Nutrien ag solutions, ""Jornadas Eco saludables en los barrios de San Joaquin"", en alianza con el Comité de Allegados Victor Domingo Silva y el Gobierno Regional, ""Construcción de Huertas comunitarias en sedes comunales Músicos del Mundo y Elias de la Cruz"" en Alianza con el Programa MAS Adulto Mayor, ""Adjudicación de fondos para mejoramiento de Plazas"" en alianza con el Comité Ambiental Girasoles Alegres y empresas (Ferretería la Imperial, Sodimac, Fundacion Luksic), entre otros.","Orientación a organizaciones sociales y comités ambientales para que cumplan con requisitos de postulación a financiamiento (revisión de vigencia, formulación de proyectos, etc.)",10%,10%,60%,,11.61,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",65%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos, subvenciones y convenios. Además se presta apoyo técnico en la ejecución de esos proyectos, como por ejemplo: ""Construcción de Huerta Escolar"" en alianza con Instituto de la Sordera Jorge Otte y Nutrien ag solutions, ""Jornadas Eco saludables en los barrios de San Joaquin"", en alianza con el Comité de Allegados Victor Domingo Silva y el Gobierno Regional, ""Construcción de Huertas comunitarias en sedes comunales Músicos del Mundo y Elias de la Cruz"" en Alianza con el Programa MAS Adulto Mayor, ""Adjudicación de fondos para mejoramiento de Plazas"" en alianza con el Comité Ambiental Girasoles Alegres y empresas (Ferretería la Imperial, Sodimac, Fundacion Luksic), entre otros.",Sistematización de los proyectos ambientales desarrollados con financiamiento municipal,10%,5%,65%,,11.62,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",65%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos, subvenciones y convenios. Además se presta apoyo técnico en la ejecución de esos proyectos, como por ejemplo: ""Construcción de Huerta Escolar"" en alianza con Instituto de la Sordera Jorge Otte y Nutrien ag solutions, ""Jornadas Eco saludables en los barrios de San Joaquin"", en alianza con el Comité de Allegados Victor Domingo Silva y el Gobierno Regional, ""Construcción de Huertas comunitarias en sedes comunales Músicos del Mundo y Elias de la Cruz"" en Alianza con el Programa MAS Adulto Mayor, ""Adjudicación de fondos para mejoramiento de Plazas"" en alianza con el Comité Ambiental Girasoles Alegres y empresas (Ferretería la Imperial, Sodimac, Fundacion Luksic), entre otros.",Solicitud de recursos para generar un fondo concursable para proyectos ambientales impulsados por organizaciones sociales,10%,0%,65%,,11.63,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",65%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos, subvenciones y convenios. Además se presta apoyo técnico en la ejecución de esos proyectos, como por ejemplo: ""Construcción de Huerta Escolar"" en alianza con Instituto de la Sordera Jorge Otte y Nutrien ag solutions, ""Jornadas Eco saludables en los barrios de San Joaquin"", en alianza con el Comité de Allegados Victor Domingo Silva y el Gobierno Regional, ""Construcción de Huertas comunitarias en sedes comunales Músicos del Mundo y Elias de la Cruz"" en Alianza con el Programa MAS Adulto Mayor, ""Adjudicación de fondos para mejoramiento de Plazas"" en alianza con el Comité Ambiental Girasoles Alegres y empresas (Ferretería la Imperial, Sodimac, Fundacion Luksic), entre otros.",Aprobación y generación de un fondo concursable para proyectos ambientales impulsados por organizaciones sociales,20%,0%,65%,,11.64,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,"Generar politicas, planes y/o programas de energias sustentables o renovables","Elaborar un plan y/o política de desarrollo ambiental sustentable para la comuna, que oriente el desarrollo de proyectos en materia de energías sustentables o renovables.",73%,"Se cuenta con un Plan de sustentabilidad Ambiental, que orienta la ejecución de proyectos comunales en materia de energías sustentables, como la red de movilidad, electrolinera y otras iniciativas.",Elaboración y actualización del Plan de sustentabilidad ambiental comunal,10%,10%,10%,1,11.65,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,"Generar politicas, planes y/o programas de energias sustentables o renovables","Elaborar un plan y/o política de desarrollo ambiental sustentable para la comuna, que oriente el desarrollo de proyectos en materia de energías sustentables o renovables.",73%,"Se cuenta con un Plan de sustentabilidad Ambiental, que orienta la ejecución de proyectos comunales en materia de energías sustentables, como la red de movilidad, electrolinera y otras iniciativas.","Desarrollo de iniciativas y proyectos que incluyan la incorporación de energías sustentables o renovables (red de movilidad, electrolinera y otras iniciativas)",25%,20%,30%,,11.66,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,"Generar politicas, planes y/o programas de energias sustentables o renovables","Elaborar un plan y/o política de desarrollo ambiental sustentable para la comuna, que oriente el desarrollo de proyectos en materia de energías sustentables o renovables.",73%,"Se cuenta con un Plan de sustentabilidad Ambiental, que orienta la ejecución de proyectos comunales en materia de energías sustentables, como la red de movilidad, electrolinera y otras iniciativas.","Definición del alcance de la política, planes y/o programas a elaborar y de sus objetivos",10%,7%,37%,,11.67,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,"Generar politicas, planes y/o programas de energias sustentables o renovables","Elaborar un plan y/o política de desarrollo ambiental sustentable para la comuna, que oriente el desarrollo de proyectos en materia de energías sustentables o renovables.",73%,"Se cuenta con un Plan de sustentabilidad Ambiental, que orienta la ejecución de proyectos comunales en materia de energías sustentables, como la red de movilidad, electrolinera y otras iniciativas.","Empalme de la política, planes y/o programas con el Plan de Desarrollo Comunal y con el Plan de Sustentabilidad actualmente vigente",10%,10%,47%,,11.68,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,"Generar politicas, planes y/o programas de energias sustentables o renovables","Elaborar un plan y/o política de desarrollo ambiental sustentable para la comuna, que oriente el desarrollo de proyectos en materia de energías sustentables o renovables.",73%,"Se cuenta con un Plan de sustentabilidad Ambiental, que orienta la ejecución de proyectos comunales en materia de energías sustentables, como la red de movilidad, electrolinera y otras iniciativas.",Revisar otras políticas y modelos de gestión vigentes en materia medioambiental,10%,5%,52%,,11.69,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,"Generar politicas, planes y/o programas de energias sustentables o renovables","Elaborar un plan y/o política de desarrollo ambiental sustentable para la comuna, que oriente el desarrollo de proyectos en materia de energías sustentables o renovables.",73%,"Se cuenta con un Plan de sustentabilidad Ambiental, que orienta la ejecución de proyectos comunales en materia de energías sustentables, como la red de movilidad, electrolinera y otras iniciativas.","Redacción de política, planes y/o programas ambientales",20%,10%,62%,,11.70,11,Si,,
90%,11. Medio Ambiente y cambio climático,87%,"Generar politicas, planes y/o programas de energias sustentables o renovables","Elaborar un plan y/o política de desarrollo ambiental sustentable para la comuna, que oriente el desarrollo de proyectos en materia de energías sustentables o renovables.",73%,"Se cuenta con un Plan de sustentabilidad Ambiental, que orienta la ejecución de proyectos comunales en materia de energías sustentables, como la red de movilidad, electrolinera y otras iniciativas.","Aprobación por el Concejo Municipal de la política, planes y/o programas ambientales (aprobación anual y/o cuando se modifique el Plan de Desarrollo Comunal)",15%,11%,73%,,11.71,11,Si,,
90%,12. Cuidado y protección animal,66%,Gestión de adopciones de mascotas,"Realizar las gestiones para que la comunidad adopte a las mascotas abandonadas, fomentando la adopción y promoviendo la tenencia y el cuidado responsable.",100%,Se realiza la gestión de adopción de mascotas de manera permanente. A la fecha se ha gestionado la adopción de más de 26 adopciones ( 18 gatos y 8 perros).,Gestión con agrupaciones animalistas para realizar traslado desde el canil municipal,10%,10%,10%,1,12.1,12,Si,,
90%,12. Cuidado y protección animal,66%,Gestión de adopciones de mascotas,"Realizar las gestiones para que la comunidad adopte a las mascotas abandonadas, fomentando la adopción y promoviendo la tenencia y el cuidado responsable.",100%,Se realiza la gestión de adopción de mascotas de manera permanente. A la fecha se ha gestionado la adopción de más de 26 adopciones ( 18 gatos y 8 perros).,Elaboración y firma de convenio con organización Homeless Pets Chile,10%,10%,20%,,12.2,12,Si,,
